Participant,Angle,DesiredResponse,RT
sub54,0,Different,3177.889
sub54,0,Same,1640.333
sub54,50,Different,3248
sub54,50,Same,2516.75
sub54,100,Different,4047.1
sub54,100,Same,2904.5
sub54,150,Different,3755.111
sub54,150,Same,3411.364
sub6,0,Different,1497
sub6,0,Same,1133.833
sub6,50,Different,1478.583
sub6,50,Same,1265.091
sub6,100,Different,1556.545
sub6,100,Same,1560
sub6,150,Different,1687.333
sub6,150,Same,2066.909
sub7,0,Different,2330.818
sub7,0,Same,1752.917
sub7,50,Different,3240.667
sub7,50,Same,2637.727
sub7,100,Different,3153.667
sub7,100,Same,2632.25
sub7,150,Different,2837
sub7,150,Same,3335.273
sub8,0,Different,1696.455
sub8,0,Same,1230.167
sub8,50,Different,1939
sub8,50,Same,1709.25
sub8,100,Different,3026.5
sub8,100,Same,2631.583
sub8,150,Different,2728
sub8,150,Same,2829.273
sub9,0,Different,2293.5
sub9,0,Same,1730.75
sub9,50,Different,2480.417
sub9,50,Same,2570.182
sub9,100,Different,2966.455
sub9,100,Same,2926
sub9,150,Different,3379.273
sub9,150,Same,3728.6
