ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
47875,post,AR,55,female,high school,14,179,178,35.51472475,71.41666666666667,white,108.3885546641786,-9.10874554716635,yes,12,hs,1337,-1.6099926036251495
15162,post,AR,32,male,bachelors degree,16,167,167,32.0236159,70.875,white,108.3885546641786,-3.072376585301754,yes,16,college,1302,-1.2203215430844923
30538,post,AR,29,male,associates or some college,17,25,21,2.9792904166666667,186.70833333333334,white,108.3885546641786,0,yes,15,college,1317,0.34135987287420533
57600,post,AR,16,male,some high school,24,233,218,55.375703783333336,69.79166666666667,white,108.3885546641786,20.75134010055953,yes,9,hs,1287,1.419991030470485
40908,post,AR,40,male,bachelors degree,15,581,560,116.56157191666667,275.2083333333333,white,99.27980911701225,3.1166838547448776,yes,16,college,1332,-0.0044048499378743005
66469,post,AR,32,male,masters degree or equivalent,12,506,469,116.38332123333333,90.04166666666667,unspecified,83.91638071555967,9.30333173557915,unspecified,NA,postcollege,1303,-0.35947360072874224
7022,post,AR,45,female,bachelors degree,20,828,628,227.10424671666667,118.04166666666667,white,108.3885546641786,8.905748861552553,yes,16,college,1320,0.577400551723111
14050,post,AR,28,male,masters degree or equivalent,12,356,339,61.7951151,70.41666666666667,white,99.27980911701225,-6.060096665873431,yes,17,postcollege,1303,-0.6070166646222298
51389,post,AR,49,male,associates or some college,22,2380,1521,760.5463294666667,106.83333333333333,unspecified,117.29430352573115,5.876970004622663,unspecified,NA,college,1299,1.2642287744601657
45043,post,AR,27,female,bachelors degree,24,433,306,122.76850856666667,93.08333333333333,white,114.37682353660779,14.763071228130343,yes,16,college,1307,0.8540562998197483
65917,post,AR,58,female,masters degree or equivalent,23,354,298,95.62443063333333,89.08333333333333,unspecified,111.30675057398027,14.8310484222134,unspecified,NA,postcollege,1286,2.09298627756797
52728,post,AR,52,male,bachelors degree,14,896,745,242.51993015,104,unspecified,93.21971245113882,6.060096665873431,unspecified,NA,college,1329,0.41278250800315264
335,post,AR,59,female,associates or some college,20,6133,2945,1331.0085747333333,90.04166666666667,white,117.29430352573115,0,unspecified,14,college,1302,0.9741786332306951
27263,post,AR,58,male,masters degree or equivalent,19,501,438,117.33733738333333,76,white,99.27980911701225,15.097014419595538,yes,20,postcollege,1325,0.037745377307422945
54433,post,AR,40,female,high school,12,350,148,106.94254245,81,white,83.91638071555967,9.30333173557915,yes,12,hs,1336,0.13232055443294521
10068,post,AR,53,male,masters degree or equivalent,15,502,443,126.57896943333334,70.125,white,99.27980911701225,3.1166838547448776,yes,18,postcollege,1327,-1.0146495647090108
59914,post,AR,59,female,high school,10,250,93,50.83752091666667,79.04166666666667,white,108.3885546641786,-21.347325939493956,yes,12,hs,1336,-0.8668606623841218
63070,post,AR,29,male,masters degree or equivalent,14,419,395,106.8691965,97.83333333333333,white,105.31617807887685,-6.036368961864596,yes,20,postcollege,1324,-0.05669216835859675
20680,post,AR,44,female,masters degree or equivalent,21,271,268,44.787575583333336,214.95833333333334,white,123.17127353035382,-2.835726147115892,yes,17,postcollege,1306,1.4554590689571905
54325,post,AR,41,male,masters degree or equivalent,23,1454,344,423.31659345,70.83333333333333,white,120.33554738323792,5.802251612955743,yes,18,postcollege,1293,0.3913740069920605
7236,post,AR,56,male,masters degree or equivalent,22,1082,818,376.879345,355.4166666666667,white,129.13989476473813,-5.968621234384315,yes,20,postcollege,1319,1.036181895373567
48064,post,AR,53,male,bachelors degree,18,390,301,108.73234143333333,69.29166666666667,white,111.30675057398027,0,yes,14,college,1297,-0.20511533789636435
20816,post,AR,54,female,high school,10,399,355,93.72680220000001,76.20833333333333,hispanic,83.91638071555967,3.1248480091249746,no,12,hs,1311,-1.1486796715402716
33306,post,AR,56,unspecified,unspecified,11,888,595,469.78674443333335,74.125,white,87.04122872468464,3.206210726524901,yes,13,unspecified,1325,-0.36599066498042326
32285,post,AR,21,male,bachelors degree,6,258,231,62.98515225,69.83333333333333,unspecified,70.13496580221123,3.494704241125689,yes,14,college,1334,-1.229238571661969
68649,post,AR,47,male,bachelors degree,16,409,193,126.27254491666666,90.25,unspecified,111.30675057398027,-5.990572495103422,unspecified,NA,college,1330,-0.2638021716638272
28176,post,AR,27,female,bachelors degree,15,597,290,229.09019060000003,71.875,other,99.27980911701225,3.1166838547448776,yes,16,college,1318,-0.7432240438293218
8448,post,AR,22,male,bachelors degree,21,294,232,81.62466436666666,85.45833333333333,hispanic,108.3885546641786,11.946992719059324,yes,16,college,1308,0.7487306898234521
58701,post,AR,28,female,associates or some college,13,65,49,16.532122083333334,161.95833333333334,unspecified,105.31617807887685,-8.959556886774195,yes,14,college,1335,-1.0898547199384931
21881,post,AR,55,female,bachelors degree,18,390,375,104.04796976666667,77.08333333333333,white,105.31617807887685,5.990572495103422,yes,16,college,1307,1.1101424416719277
23283,post,AR,35,unspecified,unspecified,21,238,237,55.56373875,91.875,unspecified,123.17127353035382,-2.835726147115892,unspecified,NA,unspecified,1297,0.4545819061718294
10184,post,AR,15,female,some high school,23,438,277,213.80779238333335,110.91666666666667,white,126.13779899619367,0,yes,10,hs,1322,1.4342758915070728
31830,post,AR,54,unspecified,unspecified,22,71,71,14.254548883333333,87.95833333333333,white,120.33554738323792,2.835726147115892,yes,16,unspecified,1297,1.1870001275683508
