ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu
58304,post,AR,52,male,masters degree or equivalent,12,118,112,21.917991266666668,74.95833333333333,hispanic,90.24743945120954,2.972272999929274,no,18
57523,post,AR,50,female,bachelors degree,14,6312,1107,2760.0944237000003,201.875,white,105.31617807887685,-6.036368961864596,yes,17
37302,post,AR,51,male,associates or some college,11,808,248,178.14235033333335,108.95833333333333,other,87.04122872468464,3.206210726524901,no,14
26530,post,AR,30,male,bachelors degree,17,596,529,150.53698381666666,128.66666666666666,white,93.21971245113882,15.168842213039781,yes,20
41940,post,AR,54,female,masters degree or equivalent,17,483,296,216.16498056666669,282.2083333333333,white,102.39649297175713,5.992061692421473,yes,20
34537,post,AR,26,male,bachelors degree,7,131,125,29.270320633333334,72.66666666666667,unspecified,93.21971245113882,-15.96978739835383,unspecified,NA
22684,post,AR,39,male,bachelors degree,23,287,285,59.50989211666667,70.16666666666667,white,114.37682353660779,11.760975459585879,yes,18
57781,post,AR,53,male,bachelors degree,16,407,335,99.66230673333334,71.625,white,105.31617807887685,0,yes,16
4683,post,AR,40,female,bachelors degree,18,123,122,23.027251,69.95833333333333,white,114.37682353660779,-3.0700729626275205,yes,12
2727,post,AR,57,female,bachelors degree,21,1076,718,234.9301173,323.3333333333333,white,126.13779899619367,-5.802251612955743,yes,14
16896,post,AR,55,female,masters degree or equivalent,20,4252,1416,750.6674404,91.04166666666667,unspecified,123.17127353035382,-5.876970004622663,unspecified,NA
24804,post,AR,28,unspecified,unspecified,13,51,51,8.125001983333334,99.875,hispanic,87.04122872468464,9.315392467418008,yes,12
66682,post,AR,45,male,masters degree or equivalent,16,251,226,57.31279776666667,90.25,unspecified,114.37682353660779,-9.060645457730942,unspecified,NA
41958,post,AR,47,female,masters degree or equivalent,22,239,224,65.86929386666667,70.125,white,108.3885546641786,14.782718866175216,yes,19
40442,post,AR,44,female,bachelors degree,10,1479,796,807.1461249166667,69.625,hispanic,87.04122872468464,0,no,17
