field,participants_n,participants_male,participants_female,participants_nonbin,race_ethn_reported,income_or_ses_reported,location_reported,general_sample,participants_asian_pacificislander,participants_black,participants_latinx,participants_native_am,participants_white,participants_multi_other,id,soc,cog,dev,pers,conbeh,neuro,other,field_combo,singlefield
soc,96,NA,67,NA,1,0,0,no,no,no,no,no,no,no,74,1,0,0,0,0,0,0,soc,0
soc,162,46,116,NA,0,1,1,yes,NA,NA,NA,NA,NA,NA,75,1,0,0,0,0,0,0,soc,0
soc,92,12,80,NA,0,0,0,no,no,no,no,no,no,no,76,1,0,0,0,0,0,0,soc,0
soc,3347,NA,NA,NA,1,0,0,no,yes,yes,yes,yes,yes,no,77,1,0,0,0,0,0,0,soc,0
"soc, cog",2298,1056,1223,19,0,0,0,yes,NA,NA,NA,NA,NA,NA,78,1,1,0,0,0,0,0,soccog,1
"soc,dev",109,NA,NA,NA,0,1,0,no,no,no,no,no,no,no,79,1,0,1,0,0,0,0,socdev,1
soc,129,NA,129,NA,0,0,0,no,no,no,no,no,no,no,80,1,0,0,0,0,0,0,soc,0
soc,88,NA,88,NA,1,0,0,no,no,no,no,no,no,no,81,1,0,0,0,0,0,0,soc,0
conbeh,100,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,82,0,0,0,0,1,0,0,conbeh,1
conbeh,370,185,185,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,83,0,0,0,0,1,0,0,conbeh,1
conbeh,389,NA,NA,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,84,0,0,0,0,1,0,0,conbeh,1
conbeh,506,201,212,NA,0,0,1,yes,NA,NA,NA,NA,NA,NA,85,0,0,0,0,1,0,0,conbeh,1
conbeh,313,NA,NA,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,86,0,0,0,0,1,0,0,conbeh,1
conbeh,295,100,195,NA,0,0,0,yes,NA,NA,NA,NA,NA,NA,87,0,0,0,0,1,0,0,conbeh,1
