"","id","session","stresscond","stresslevel","group","order","date","warehouse_Time_to_eliminate_enemies_total","warehouse_Distance_rifle_moved_total","warehouse_Shots_fired_total","warehouse_Number_of_hits_total","warehouse_Number_of_misses_total","warehouse_Hits_per_shots_fired_total","warehouse_Misses_per_shots_fired_total","warehouse_Hits_on_enemies_total","warehouse_Hits_on_hostages_total","warehouse_Hits_on_enemies_per_shots_fired_total","warehouse_Hits_on_hostages_per_shots_fired_total","warehouse_Points_per_shots_fired_total","warehouse_Average_total_radial_error_of_all_chest_shots_fired_total","warehouse_Average_total_radial_error_of_all_head_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_chest_shots_fired_total","warehouse_Standard_deviation_average_total_radial_error_per_head_shots_fired_total","warehouse_Time_to_aim_at_avatars_total","warehouse_Time_until_action_taken_total","warehouse_Total_performance_score","warehouse_Total_performance_score_rep","warehouse_Total_performance_score_revtime","range_shots_fired","range_total_hits","range_total_points","range_total_radial_error","range_total_standard_deviation","range_total_time_to_aim","range_total_time_to_shoot","HR.baseline","HRV.baseline","HRConfidenceGT50.baseline","HR.warehouse","HRV.warehouse","HRConfidenceGT50.warehouse","meanscl_baseline","meanscl_warehouse","scrnsf_baseline","scrnsf_warehouse","scramp_baseline","scramp_warehouse","scrrise_baseline","scrrise_warehouse","scrrec_baseline","scrrec_warehouse","scronset_baseline","scronset_warehouse","STICSACOG_BL","STICSASOM_BL","STICSACOG_PT","STICSASOM_PT","STICSACOG_PW","STICSASOM_PW","sample_timing","aa_mean_time1","aa_mean_time2","aa_mean_time3","aa_mean_time4","cort_mean_time1","cort_mean_time2","cort_mean_time3","cort_mean_time4"
"34",17,2,"HS","High_Stress","Mindfulness",2,2018-06-25,722.9777,306.0298,887,171,681,0.1965174,0.7754386,167,4,0.1927861,0.00462963,51750,0.02685671,0.001169109,0.5862316,0.004702254,946.2189,96.73965,672,672.171364148816,125.95608531995,40,3,55,58.40195,138.538,172.0819,10.00292,76.0520833333333,NA,0.910416666666667,97.3166666666667,82.2098039215686,0.258823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,11,10,21,"intended",171.5,228.5,146.1,238.6,0.409,0.256,0.416,0.901
"35",18,1,"LS","Low_Stress","Reappraisal",2,2018-06-25,801.2336,345.465,1762,35,1718,0.02205419,0.9750284,30,5,0.01890359,0.003190811,9646.875,0.001994333,0.000663215,0.007616964,0.002732795,1044.988,18.09338,703.5,703.740625,-0.129227823867268,40,1,10,19.05445,9.789188,167.0565,5.418064,72.025,NA,1,97.078967350038,NA,0.362186788154898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,19,13,15,10,29,"intended",29.7,47.1,37.9,33.1,0.292,0.17,0.114,0.136
"36",18,2,"HS","High_Stress","Reappraisal",2,2018-06-26,801.1877,191.3373,1466,17,1449,0.01187151,0.9895105,16,1,0.01117318,0.0007037297,5600,0.000696381,0.0008982669,0.0001976165,0.003934429,1049.206,13.57836,783,782.909959072306,79.7417311752287,40,3,55,58.40195,138.538,172.0819,10.00292,57.2758620689655,NA,0,117.347474747475,NA,0.0404040404040404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,18,13,20,13,22,"intended",27.2,82.8,44.4,32.6,0.249,0.162,0.137,0.167
"37",19,1,"LS","Low_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,NA,NA,NA,NA,"intended",59,82.8,73.6,71.5,0.172,0.159,0.135,0.117
"38",19,2,"HS","High_Stress","Control",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",20,1,"HS","High_Stress","Reappraisal",1,2018-06-26,709.9525,453.4806,1064,204,834,0.194605,0.7850834,195,9,0.1859345,0.008832188,56484.38,0.0182578,0.003091811,0.2006737,0.09018687,948.0039,115.0556,556.5,556.543233082707,34.9735034347399,40,10,365,190.9178,3682.57,125.4776,18.33854,90.4655172413793,NA,0,89.9566666666667,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,11,14,13,21,"intended",75.3,220.6,71,71,0.495,0.525,0.46,0.515
"40",20,2,"LS","Low_Stress","Reappraisal",1,2018-06-27,691.3692,423.0006,735,208,499,0.2881119,0.6789116,199,9,0.2755245,0.01262272,56612.5,0.1130085,0.003457528,24.17319,0.06230807,914.295,148.5085,549.5,549.51156462585,105.257575757576,NA,NA,NA,NA,NA,NA,NA,77.3557046979866,NA,0.682326621923937,103.516913319239,NA,0.1723044397463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,10,12,11,17,"intended",82,162.2,95.1,62.8,0.473,0.442,0.317,0.297
"41",21,1,"HS","High_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,18,13,11,30,"intended",149.4,146.3,120.2,102.5,0.151,0.235,0.241,0.189
"42",21,2,"LS","Low_Stress","Mindfulness",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intended",NA,NA,NA,NA,NA,NA,NA,NA
"43",22,1,"HS","High_Stress","Control",1,2018-06-28,748.933,483.0395,1225,195,989,0.1626298,0.8090164,186,9,0.1557093,0.007358953,53931.25,0.02089593,0.006617032,0.3074012,1.256116,957.63,105.3606,591,591.012653061224,12.1464912280702,40,14,335,269.5075,9630.376,127.3455,34.36853,78.6537037037037,NA,0.95,101.752941176471,55.2117647058824,0.972549019607843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,11,15,10,20,"intended",9.8,15.6,11.2,9.8,0.176,0.104,0.073,0.101
